word	first_digraph	second_digraph
ABASH	DV	
ABOARD	OL	
ABOVE	A8	
ACE	MX	
ACHE	AE	
ACID	BN	
ACT	HE	
ACTIVE	FF	
ADD	GM	
ADHERE	GU	
ADVISE	D4	
AFT	LY	
AFTER	1B	
AGE	T2	
AIM	3J	
AIR	B2	
AISLE	EK	
ALERT	E7	
ALEX	DE	
ALIBI	FU	
ALIVE	GF	
ALL	J6	
ALP	PV	
ALTAR	4X	
AMBER	W3	
AMID		7S
AMONG	AP	
AMPLE	2W	
ANGLE	BT	
ANKLE	F/	
APART	N3	
APE	JT	
APPLE	/Y	
APPROVE	SK	
APRIL	5D	
ARBOR	KV	
ARCH	J1	
ARK	0P	
ARM	AO	
ASH	IV	
ASK	HU	
ASP		CF
ASSERT	ZJ	
ASSIST	6S	
ASSORT	Z2	
ASSET	LQ	
ATLAS	NH	
ATOM		EL
ATTEND	XL	
ATTIC	EF	
AUNT	OY	
AUTHOR	8F	
AUTO	BD	
AVERT	08	
AVOID	68	
AWAIT	7R	
AXE	L0	
BABE		V/
BACK		BD
BADGE		VU
BAG		3A
BAIT		W8
BAKE		3Y
BALD		28
BALK		2N
BALL		TY
BALM		2S
BAM	Y1	
BAN		4/
BAND		5K
BANDIT		2X
BANE		V8
BANG		ZE
BANK		ZD
BANKER		CE
BAR	RA	
BARB		A4
BARE		76
BARGE		19
BARK		24
BARN	1/	
BARON	KF	
BARTER	4A	
BASE		QR
BASIC		LW
BASIN		3R
BASIS		XR
BASTE		UD
BAT	UT	
BATCH	V5	
BATH		SM
BATTER	UD	
BATTLE	MG	
BAY		C7
BEAD	VA	
BEAK	TF	
BEAKER		KN
BEAL		1D
BEAM	RH	
BEAN	TE	
BEAST	15	
BEAVER	EZ	
BECKON	NT	
BED		BQ
BEEF		AB
BEER		QY
BEET	10	
BEETLE	XU	
BEFORE		GP
BEGAN		3Y
BEHIND		38
BEIGE	ZW	
BELONG		D3
BELL	56	
BELT		OU
BENCH		DA
BEND	OD	
BENT	GB	
BESIDE		B2
BEST	5A	
BET	BE	
BETTER	YE	
BEVEL	3S	
BICKER	SS	
BID	B0	
BIDE	MN	
BIG	DA	
BIKE	QN	
BILGE	XJ	
BILL	R/	
BILLET		F1
BILLION		I/
BILLOW		DT
BIND		SC
BINDER	WL	
BING	R2	
BIRCH	7F	
BIRD	CR	
BISHOP	47	
BITE	AV	
BITTER		K6
BLAB	DK	
BLACK	BO	
BLADE		GL
BLAME	8Q	
BLANCH		06
BLAND	QF	
BLANK	PF	
BLAST	CJ	
BLAZE	M8	
BLEACH	MN	
BLEAK	8J	
BLEAT	G6	
BLEED	/S	
BLEND	/G	
BLESS	AG	
BLIND	OR	
BLINK	PZ	
BLISS	5S	
BLISTER	WE	
BLITZ	BM	
BLOAT	28	
BLOB	9J	
BLOND	FN	
BLOOD	Q4	
BLOOM	R/	
BLOT	N0	
BLOTCH		ES
BLOTTER	D8	
BLOUSE	H4	
BLOW	4Q	
BLUE		RW
BLUFF	83	
BLUNT		D0
BLUR	R1	
BLURT		E2
BLUSH		9P
BOARD		11
BOAST		FE
BOAT	BS	
BOB	WU	
BOCK	/7	
BODE		E/
BOG		TD
BOIL	UL	
BOLD		N7
BOLT	WN	
BOMB	RQ	
BOND	PQ	
BONE	L5	
BONNET	M7	
BONUS		XB
BOO	F8	
BOOK	SI	
BOOM		1M
BOON		W5
BOOST		1R
BOOT		ZY
BOOTH	T9	
BORE	C7	
BOSH	N6	
BOSSY		J0
BOTCH	PF	
BOTH	HP	
BOTTLE		EC
BOTTOM	DY	
BOUGH		UL
BOUGHT	LH	
BOUNCE	9A	
BOUND		JQ
BOW	IS	
BOWL	JF	
BOXER	91	
BRAG	IA	
BRAID	3J	
BRAIN	LJ	
BRAIZE	P7	
BRAKE	00	
BRAN	HQ	
BRANCH	TW	
BRAND	O5	
BRANT		NP
BRASH	PO	
BRASS	4C	
BRAT	98	
BRAVE	NK	
BRAWL	88	
BRAWN		4G
BRAY		0D
BREACH		HA
BREAST	9N	
BREATH		YG
BREEZE		SY
BRENT		YP
BREW	2T	
BRIBE	K7	
BRICK		VP
BRIDE		WK
BRIDGET		YX
BRIEF		PZ
BRIG		LP
BRIGHT	36	
BRIM		WA
BRINE		67
BRING		XY
BRINK		94
BRISK		4M
BRITTLE		MH
BROACH		VC
BROAD		8W
BROGUE		4U
BROIL		9W
BROKE	JX	
BROKER		4Y
BRONX		45
BROOD		0K
BROOK	IG	
BROOM		0O
BROTH	Y8	
BROW	GQ	
BROWSE		5C
BRUISE	J1	
BRUNT		NL
BRUTE	74	
BUCK		ZN
BUD		6A
BUDGE	YH	
BUDGET		5I
BUFF	60	
BUGGY		0V
BUILD		5P
BUILDER		7G
BULB		6X
BULGE		09
BULK		5X
BULL	/K	
BUM		02
BUMP	Y/	
BUN	64	
BUNCH	/0	
BUND	R/	
BUNDLE	01	
BUNK	/X	
BUNT		84
BURKE	/3	
BURN	9G	
BURR	/9	
BURST		6N
BUS	99	
BUSH	8B	
BUSHY	0C	
BUTTON	2E	
CAB	2B	
CAD	2U	
CACHE		4K
CAGE		UW
CAKE		5F
CALF		49
CALL		7M
CALLER		52
CALM		T/
CAMP	DP	
CAMPER	TM	
CAN		SQ
CANCEL		5N
CANDID		64
CANDLE		69
CANE	N9	
CAP	3F	
CAPE		XR
CAPER		1Y
CAR	1/	
CARD	16	
CARE	V8	
CARP		7D
CARPET		5V
CART	KR	
CARVE	RJ	
CASH	59	
CASK	8E	
CAST	29	
CAT	1A	
CATCHER		6F
CATTLE		XG
CAUGHT	X/	
CAVE	7A	
CAW	UG	
CEASE		ZQ
CEDAR	DR	
CHAFF	T3	
CHAIN	KW	
CHAIR	MH	
CHALK	/1	
CHAMP	88	
CHANCE		6M
CHANGE	R5	
CHANT	GJ	
CHAP	G/	
CHAR	FI	
CHARD	68	
CHARGE	JD	
CHARM	RD	
CHART	BB	
CHASE	MT	
CHASTE	80	
CHAT	DY	
CHATTER	3V	
CHEAP	CL	
CHEAT	/Z	
CHECK		KI
CHECKER		HN
CHEEK	B/	
CHEER	GA	
CHEESE		8V
CHEF	/4	
CHERRY		EH
CHESS	CG	
CHEST	XL	
CHEW		/F
CHICK	ZP	
CHICO	XB	
CHIDE		T3
CHILD	5H	
CHILL	6L	
CHIME	GW	
CHIN	F8	
CHINK		QW
CHINTZ		H6
CHIP	VK	
CHIPPER	/J	
CHIRP	K0	
CHIT	AH	
CHIVE	UN	
CHOCK		6W
CHOIR		IT
CHOKE	IO	
CHOOSE	TJ	
CHOP	M3	
CHOSE	VP	
CHROME	FD	
CHUCK	M/	
CHUCKLE		OB
CHUG	D7	
CHUM	AR	
CHUNK		L3
CHURL	9D	
CHURN	YR	
CHUTE	2H	
CINDER	PZ	
CIRCUS	O0	
CIVIC		IH
CLACK		BA
CLAD		DM
CLAIM	43	
CLAM	12	
CLAMP	HJ	
CLAN	A0	
CLANG		07
CLANK		QN
CLAP	RH	
CLARK	63	
CLASH		B5
CLASP	27	
CLASS	00	
CLAUSE		NZ
CLAW	/G	
CLAY	U5	
CLEAN	LR	
CLEAT	FI	
CLEFT	K/	
CLENCH	KK	
CLERK	AT	
CLEVER		WE
CLICK		JU
CLIFF	1R	
CLINCH		VX
CLINK	EM	
CLIP		I4
CLIQUE	T5	
CLOAK		TJ
CLOCK	VC	
CLOD	B4	
CLOSE		7L
CLOT	VE	
CLOTH	33	
CLOUD	EH	
CLOUT	/V	
CLOWN		7Z
CLUB		0M
CLUCK		5R
CLUE	Q9	
CLUMP	OI	
CLUTCH	1G	
COACH	8X	
COAL	51	
COAST	U4	
COAT	87	
COAX	L7	
COB		
COBRA	KQ	
CODE	UH	
COIL	7L	
COIN		9L
COKE	RT	
COLD	RX	
COLIC	JQ	
COLOR		9E
COLT	BU	
COME	R8	
COMET	J/	
COMMIT	K4	
COMMON	8R	
CONCEAL	I9	
CONE	99	
COOK	1B	
COOL	/A	
COOP		9H
COP		04
COPE	QF	
CORAL	8Z	
CORD	5E	
CORE	O2	
CORK	/S	
CORN	UT	
CORPSE		9Q
COT	VP	
COTTON	QI	
COUCH	P4	
COUGH	LB	
COUNT	VW	
COUPE	OB	
COURT	VZ	
COVE	SI	
COVER	OI	
COW	ZB	
COWL	Z2	
COY	YQ	
COZY	PJ	
CRAB	PO	
CRACK		0T
CRADLE	G2	
CRAFT	CU	
CRAG	MD	
CRAM	SM	
CRAMP		MM
CRANK	RH	
CRASH		0F
CRATE	X5	
CRAVE	TA	
CRAWL	4H	
CRAZE		6C
CREAM	SM	
CREASE		01
CREDIT		79
CREED		QE
CREEK		SW
CREEP	OQ	
CRESS		6J
CREST		0X
CREW		56
CRIB		9B
CRIME	ZH	
CRIMP	9E	
CRINGE		XL
CRISP		32
CROCK	P6	
CRONE		XU
CROON	Q9	
CROP	QU	
CROTCH		9Q
CROW	/P	
CROWD		9U
CRUDE	NY	
CRUISE	WY	
CRUMB		0B
CRUSH	NJ	
CRUST	/V	
CRUTCH		8H
CRYPT		S/
CUDDLE		61
CUFF		9Y
CULT		90
CURB	QJ	
CURL		0T
CURSE		93
CURVE	Z4	
CUSS	YB	
CUT		RY
CYST	8J	
CUTTER		0J
CZAR	74	
DAB		X8
DAD		3B
DAFT		X4
DALE		YZ
DAME		A7
DAMP		YS
DAMPER		XJ
DAN	M2	
DANCE	4W	
DANCER		TW
DANDY	50	
DANK		R5
DARE		WR
DARK	00	
DART		NE
DASH	2J	
DASHER	2Q	
DATA	26	
DATE	P6	
DAUB		VK
DAUNT		IW
DAWN	EE	
DAY		B8
DAZE	19	
DEACON	5V	
DEAD	G9	
DEAF	B1	
DEAL	30	
DEALER		KL
DEAN		1W
DEATH	1P	
DEB	YJ	
DEBIT	CL	
DEBT	TF	
DECK	85	
DECOY	W4	
DEED	KG	
DEEM	V3	
DEEP	BU	
DEER		JJ
DEFECT		HU
DEFEND		F6
DEFT	B2	
DEFY	Z1	
DELL	A0	
DELVE	DC	
DEN		FP
DENSE	IW	
DENT	DN	
DENY	AJ	
DEPART	LP	
DEPTH	KB	
DESIGN	DL	
DESIRE		GF
DESK	7D	
DESTROY	38	
DETAIN		XQ
DETRACT	U0	
DEUCE	NI	
DEVICE	CH	
DEVOTE	YL	
DICE	I7	
DIG	XF	
DIKE	B6	
DILL	W0	
DIM	F8	
DIME	R8	
DIN	/0	
DINE	A2	
DING	RV	
DIP	QY	
DIRE	WB	
DIRGE		QU
DIRT	BO	
DISK	BE	
DITCH	JL	
DIVE		PU
DIVER		18
DIVIDE	G2	
DOCK	TS	
DODGE		CT
DODGER	OG	
DOILY		7V
DOLE	3B	
DOLT	D6	
DOME		F3
DONE	7Y	
DOOM	24	
DOOR		9W
DOPE		RP
DORY	ZS	
DOSE	UP	
DOT	OW	
DOTE	UG	
DOUBT	3E	
DOUGH	81	
DOUSE	PX	
DOVE	2/	
DOWN		QA
DOZE	Y4	
DRAB	22	
DRAFT	H1	
DRAG	CF	
DRAIN	6S	
DRAKE	VN	
DRAM		LH
DRANK	/P	
DRAPE	0L	
DRAUGHT	O7	
DRAW	HG	
DRAWL	GL	
DRAWN		WV
DRAY	N3	
DREAD		WI
DREAM	W6	
DREDGE	4D	
DRENCH	11	
DRESS	FL	
DRIFT		AE
DRILL	RJ	
DRINK	JB	
DRIP	T7	
DRIVE	51	
DROLL		VU
DRONE	QR	
DROOP	K1	
DROP	U2	
DROVE		OZ
DROWN	Y0	
DROWSE	FX	
DRUDGE		LS
DRUG	MA	
DRUM		ZD
DRUNK		ZH
DRY		ZQ
DUB	Q2	
DUCT	QQ	
DUD	ZS	
DUFF	U9	
DUKE	ZV	
DULL	UL	
